ensembl_peptide_id hgnc_symbol
ENSP00000246421 SLC35E2
ENSP00000246529 LRFN3
ENSP00000246949 DNASE1
ENSP00000247271 OMG
ENSP00000247815 HELB
ENSP00000248633 PEX1
ENSP00000248668 LRFN1
ENSP00000249014 CDC42EP1
ENSP00000249363 LRRC4
ENSP00000249842 ISLR
ENSP00000250699 CHRNA10
ENSP00000250974 ABHD17A
ENSP00000252453 ANGPTL8
ENSP00000252505 ALLC
ENSP00000253462 GINS2
ENSP00000253719 NAPSA
ENSP00000254231 LIN28A
ENSP00000254260 RHPN2
ENSP00000254759 COQ3
ENSP00000255226 SLC14A2
ENSP00000255409 CHI3L1
ENSP00000256458 IRAK2
ENSP00000257189 DSG3
ENSP00000257347 CARS2
ENSP00000257408 KLB
ENSP00000257934 ESPL1
ENSP00000258042 NMBR
ENSP00000258091 CCT7
ENSP00000258538 SLC41A2
ENSP00000258729 IGF2BP3
ENSP00000258884 ABHD17C
ENSP00000258969 CHAD
ENSP00000259324 LRRC8A
ENSP00000259407 BAAT
ENSP00000260061 LRRC32
ENSP00000260130 SDCBP
ENSP00000260649 SLC3A1
ENSP00000260956 SSB
ENSP00000261007 CHRNA1
ENSP00000261172 EPYC
ENSP00000261233 IRAK3
ENSP00000261783 ARG2
ENSP00000261796 IL17B
ENSP00000262120 TWSG1
ENSP00000262506 CSNK2A2
ENSP00000262551 OGN
ENSP00000262719 PHLPP1
ENSP00000262878 SAMHD1
ENSP00000263056 MAP3K8
ENSP00000263116 RAB36
ENSP00000263847 OSBP
ENSP00000264033 CBL
ENSP00000264122 CBLB
ENSP00000264162 LCT
ENSP00000264380 PIKFYVE
ENSP00000264703 FNDC4
ENSP00000264932 SDHA
ENSP00000265070 GOLPH3
ENSP00000265562 PTPN23
ENSP00000265729 SRI
ENSP00000265849 PMS2
ENSP00000265967 HPS5
ENSP00000266718 LUM
ENSP00000266719 KERA
ENSP00000268171 FURIN
ENSP00000268206 EFL1
ENSP00000268383 CDR2
ENSP00000268483 TXNL4B
ENSP00000268704 SPG7
ENSP00000268957 TOB1
ENSP00000269349 EIF4A3
ENSP00000269601 TXNL4A
ENSP00000270570 SLC47A1
ENSP00000271227 SLC44A3
ENSP00000271324 CD53
ENSP00000271732 GOLPH3L
ENSP00000272190 REN
ENSP00000273286 LRTM1
ENSP00000273783 EIF2B5
ENSP00000274008 SPATA5
ENSP00000274311 PELO
ENSP00000274680 FARS2
ENSP00000274711 LRRTM2
ENSP00000275603 CCT6A
ENSP00000276066 RAB41
ENSP00000276072 TAF1
ENSP00000276282 MFHAS1
ENSP00000276533 GINS4
ENSP00000276893 UHRF2
ENSP00000278198 LRRC4C
ENSP00000279249 CDC42EP2
ENSP00000280326 CCT5
ENSP00000280665 DCP1B
ENSP00000280886 DIP2C
ENSP00000281701 NVL
ENSP00000282466 IGSF10
ENSP00000283122 CETN3
ENSP00000283141 SYCP2L
ENSP00000284049 CHD1
ENSP00000284818 LY96
ENSP00000285208 RAB6B
ENSP00000285928 LRGUK
ENSP00000287394 ATAD2
ENSP00000287641 SST
ENSP00000288078 FUK
ENSP00000289013 RHPN1
ENSP00000289952 SLC39A14
ENSP00000290341 IGF2BP1
ENSP00000290573 HK2
ENSP00000290722 PGLYRP3
ENSP00000290759 ISL2
ENSP00000291281 PRKD2
ENSP00000292433 IER2
ENSP00000292616 LRWD1
ENSP00000293695 SYCE2
ENSP00000293831 EIF4A1
ENSP00000294454 SLC25A34
ENSP00000294635 LRRC53
ENSP00000294671 GBP7
ENSP00000294818 LRRC52
ENSP00000294964 PKDCC
ENSP00000295057 LRRTM1
ENSP00000295628 LRRC58
ENSP00000295688 CCT3
ENSP00000295887 CDS1
ENSP00000296130 CLEC3B
ENSP00000296144 LRRC2
ENSP00000296273 RFC4
